,label_2
0,22
1,25
2,30
3,27
4,29
5,30
6,27
7,33
8,23
9,22
10,26
11,25
12,27
13,26
14,23
15,26
16,28
17,25
18,31
19,29
20,33
21,24
22,29
23,26
24,26
25,26
26,28
27,23
28,25
29,26
30,23
31,30
32,30
33,24
34,28
35,33
36,24
37,25
38,31
39,25
40,23
41,23
42,25
43,30
44,31
45,22
46,26
47,32
48,25
49,23
50,22
51,24
52,29
53,27
54,23
55,23
56,30
57,34
58,22
59,25
60,27
61,23
62,23
63,26
64,28
65,25
66,25
67,25
68,22
69,32
70,33
71,28
72,61
73,30
74,23
75,26
76,26
77,23
78,27
79,26
80,34
81,32
82,24
83,23
84,26
85,26
86,31
87,23
88,26
89,29
90,22
91,31
92,25
93,23
94,27
95,30
96,31
97,25
98,27
99,29
100,23
101,22
102,26
103,22
104,24
105,36
106,26
107,26
108,27
109,25
110,27
111,27
112,26
113,24
114,30
115,30
116,26
117,25
118,23
119,26
120,27
121,26
122,41
123,33
124,32
125,28
126,29
127,35
128,34
129,24
130,23
131,27
132,36
133,23
134,28
135,22
136,29
137,27
138,30
139,31
140,26
141,25
142,26
143,31
144,23
145,26
146,30
147,24
148,33
149,30
150,29
151,27
152,27
153,24
154,31
155,30
156,23
157,26
158,28
159,41
160,31
161,25
162,25
163,28
164,30
165,26
166,30
167,26
168,26
169,25
170,23
171,27
172,27
173,30
174,33
175,31
176,25
177,34
178,30
179,23
180,27
181,25
182,26
183,23
184,29
185,23
186,23
187,28
188,28
189,24
190,30
191,34
192,28
193,31
194,25
195,25
196,28
197,31
198,31
199,22
200,26
201,27
202,25
203,31
204,33
205,35
206,24
207,22
208,26
209,22
210,23
211,22
212,22
213,26
214,30
215,61
216,29
217,23
218,32
219,25
220,24
221,29
222,28
223,27
224,26
225,33
226,29
227,28
228,28
229,32
230,25
231,27
232,41
233,30
234,30
235,41
236,31
237,28
238,41
239,27
240,36
241,30
242,23
243,25
244,28
245,26
246,24
247,26
248,30
249,31
250,24
251,26
252,25
253,22
254,26
255,25
256,35
257,26
258,27
259,33
260,25
261,33
262,33
263,31
264,41
265,27
266,29
267,24
268,24
269,29
270,27
271,27
272,22
273,24
274,27
275,24
276,23
277,22
278,28
279,22
280,26
281,27
282,25
283,23
